Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
1594,Mastering microsoft office 2000 professional,"Courter,G & Marenis,A",Computer Science,N/A,N/A
15940,Project management and entrepreneurship,Desai Vasant,Mechanical,N/A,N/A
15941,Project management and entrepreneurship,Desai Vasant,Mechanical,N/A,N/A
15942,Finite Element method in Engineering,"Rao.S, Singiresu",Mechanical,N/A,N/A
15943,Finite Element method in Engineering,"Rao.S, Singiresu",Mechanical,N/A,N/A
15944,Finite Element method its basis & Fundamentals,"Zienkiewicz.O.C, Taylor.R.L,&Z",Mechanical,N/A,N/A
15945,Machine Design,Kulkarni.S.G,Mechanical,N/A,N/A
15946,Machine Design,Kulkarni.S.G,Mechanical,N/A,N/A
15947,Machine Design,Kulkarni.S.G,Mechanical,N/A,N/A
15948,Machine Design,Kulkarni.S.G,Mechanical,N/A,N/A
15949,Machine Design,Kulkarni.S.G,Mechanical,N/A,N/A
1595,Mastering microsoft office 97 web publishing,"Young, Michael J",Computer Science,N/A,N/A
15950,Engineering Thermodynamics,Horsley Michal,Mechanical,N/A,N/A
15951,Engineering Thermodynamics,Horsley Michal,Mechanical,N/A,N/A
15952,Engineering Thermodynamics,Horsley Michal,Mechanical,N/A,N/A
15953,Hydraulics and Fluid Mecanics including Hydraulics,Modi P N and Seth S M,Mechanical,N/A,N/A
15954,Hydraulics and Fluid Mecanics including Hydraulics,Modi P N and Seth S M,Mechanical,N/A,N/A
15955,Hydraulics and Fluid Mecanics including Hydraulics,Modi P N and Seth S M,Mechanical,N/A,N/A
15956,Hydraulics and Fluid Mecanics including Hydraulics,Modi P N and Seth S M,Mechanical,N/A,N/A
15957,Hydraulics and Fluid Mecanics including Hydraulics,Modi P N and Seth S M,Mechanical,N/A,N/A
15958,Introduction to Embedded system,K.V.Shibu,Electronics,N/A,N/A
15959,Introduction to Embedded system,K.V.Shibu,Electronics,N/A,N/A
1596,Microsoft office 97: no experience required,"Courter, G & Marquis, A",Computer Science,N/A,N/A
15960,Introduction to Embedded system,K.V.Shibu,Electronics,N/A,N/A
15961,Switching and finite automata theory,Kohavi.Zvi & Jha.Niraj.K,Electronics,N/A,N/A
15962,Switching and finite automata theory,Kohavi.Zvi & Jha.Niraj.K,Electronics,N/A,N/A
15963,Switching and finite automata theory,Kohavi.Zvi & Jha.Niraj.K,Electronics,N/A,N/A
15964,Mobile Ad Hoc Networks,"Aggelou,George",Telecommunication,N/A,N/A
15965,Mobile Ad.Hoc Networks,"Aggelou,George",Telecommunication,N/A,N/A
15966,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15967,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15968,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15969,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
1597,C++ interactive course,"Lafore, Robert",Computer Science,N/A,N/A
15970,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15971,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15972,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15973,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15974,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15975,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15976,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15977,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15978,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15979,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
1598,Understanding the LINUX kernals,Bovet D P and Cesati M,Computer Science,N/A,N/A
15980,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15981,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15982,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15983,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15984,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15985,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15986,A Primer on Constitution of India and Professional,VTU,General,N/A,N/A
15987,Genetic Engineering principles & Applications,Nagini.s,General,N/A,N/A
15988,Primer on Constitution of India and Professional E,VTU,General,N/A,N/A
15989,Primer on Constitution of India and Professional E,VTU,General,N/A,N/A
1599,"Standard dictionary: English-English-Kannada, abri","Bharadvaj,D.K",General,N/A,N/A
15990,Primer on Constitution of India and Professional E,VTU,General,N/A,N/A
15991,Primer on Constitution of India and Professional E,VTU,General,N/A,N/A
15992,Primer on Constitution of India and Professional E,VTU,General,N/A,N/A
15993,Eliments of civil Engineering and Engineering Mech,Kolhapure.B.K,General,N/A,N/A
15994,Applied Engineering Geology,"Maruthesha Reddy,M.T",General,N/A,N/A
15995,Applied Engineering Geology Practicals,"Maruthesha Reddy,M.T",General,N/A,N/A
15996,Environmental Studies,Maruthesha Reddy M T,General,N/A,N/A
15997,Machine design data handbook,Lingaiah K,Mechanical,N/A,N/A
15998,Machine design data handbook,Lingaiah K,Mechanical,N/A,N/A
15999,Machine design data handbook,Lingaiah K,Mechanical,N/A,N/A
16,Golden Maths Series Differential Calculus,Bali N P,Mathematics,N/A,N/A
160,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1600,Merrian webster`s collegiate dictionary,"Webster, Marrian",General,N/A,N/A
1601,Official microsoft intranet solutions: using MS Of,"Modelling,M",Computer Science,N/A,N/A
1602,MCSE readness review exam 70-059 internet working ,"Sheldon, Robert",Computer Science,N/A,N/A
1603,Inside microsoft SQL server 7.0,"Soukup,R & Delaney,K",Computer Science,N/A,N/A
1604,Computer organisation and programming for IBM PCs ,"Thome, Michael",Computer Science,N/A,N/A
1605,Electronic devices and circuits,"Bogart,T.F, Beasley,J.S & Rico",Electronics,N/A,N/A
1606,Design of the UNIX Operating System,Bach Maurice J,Computer Science,N/A,N/A
1607,Microsoft encyclopedia of networking,"Tulloch, Mitch",Computer Science,N/A,N/A
1608,Introducing microsoft exchange,"Kilcullen, Bill",Computer Science,N/A,N/A
1609,MCSE training kit upgrading to microsoft windows 2,Microsoft,Computer Science,N/A,N/A
161,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1610,MCSE Training kit microsoft windows 2000 professio,Microsoft,Information Science,N/A,N/A
1611,Dynamic HTML in action,"Schurman, E.M. & Pardi, W.J.",Computer Science,N/A,N/A
1612,"Dynamic HT ML: the HTML developer's guide","Rule, Jeff",Computer Science,N/A,N/A
1613,The chambers dictionary,Allied chambers,General,N/A,N/A
1614,Web applications with microsoft visual interdev 6.,Microsoft,Computer Science,N/A,N/A
1615,Distributed applications with visual c++6.6: MCSD ,"Wilson, Scott F",Computer Science,N/A,N/A
