Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
1,Advanced Engineering Mathematics,Kreyszig Erwin,Mathematics,R7,1
10,Advanced Engineering Mathematics,Kreyszig Erwin,Mathematics,R5,10
100,Engineering Mathematics - II,Ramamurthy K and Qureshi A,Mathematics,N/A,N/A
1000,A Detailed Text Book  of Engineering Physics Pract,Basavaraju S P,Physics,N/A,N/A
10000,Material Sciecne,"kakani, Sl and Kakani, Amit",General,N/A,N/A
10001,Material Sciecne,"kakani, Sl and Kakani, Amit",Mathematics,N/A,N/A
10002,Material Sciecne,"kakani, Sl and Kakani, Amit",Mathematics,N/A,N/A
10003,Material Sciecne,"kakani, Sl and Kakani, Amit",Mathematics,N/A,N/A
10004,Electrical power systems,"Wadhwa, C L",Electrical,N/A,N/A
10005,Electrical power systems,"Wadhwa, C L",Electrical,N/A,N/A
10006,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10007,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10008,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10009,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
1001,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10010,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10011,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10012,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10013,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10014,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10015,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10016,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10017,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10018,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10019,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
1002,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10020,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10021,Introduction to analog and digital communication,"Haykin, Simon",Electronics,N/A,N/A
10022,Introduction to analog and digital communication,"Haykin, Simon",Electronics,N/A,N/A
10023,Introduction to analog and digital communication,"Haykin, Simon",Electronics,N/A,N/A
10024,Introduction to analog and digital communication,"Haykin, Simon",Electronics,N/A,N/A
10025,Introduction to analog and digital communication,"Haykin, Simon",Electronics,N/A,N/A
10026,Renewable energy resources,"Twidell, John and Weir, Tony",Physics,N/A,N/A
10027,Renewable energy resources,"Twidell, John and Weir, Tony",Electrical,N/A,N/A
10028,Renewable energy resources,"Twidell, John and Weir, Tony",Electrical,N/A,N/A
10029,Renewable energy resources,"Twidell, John and Weir, Tony",Electrical,N/A,N/A
1003,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10030,Renewable energy resources,"Twidell, John and Weir, Tony",Electrical,N/A,N/A
10031,Introduction to genetic engineering,"Nicholl, Desmond S T",Biotechnology,N/A,N/A
10032,Introduction to genetic engineering,"Nicholl, Desmond S T",Biotechnology,N/A,N/A
10033,Introduction to genetic engineering,"Nicholl, Desmond S T",Biotechnology,N/A,N/A
10034,Introduction to genetic engineering,"Nicholl, Desmond S T",Biotechnology,N/A,N/A
10035,Introduction to genetic engineering,"Nicholl, Desmond S T",Biotechnology,N/A,N/A
10036,Computer Communication and Networking Technologies,Gallo Michael A and Hancock Wi,Information Science,N/A,N/A
10037,Computer Communication and Networking Technologies,"Gallo, Michael A and Hancock W",Information Science,N/A,N/A
10038,Computer Communication and Networking Technologies,Gallo Michael A and Hancock Wi,Information Science,N/A,N/A
10039,Computer Communication and Networking Technologies,Gallo Michael A and Hancock Wi,Information Science,N/A,N/A
1004,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10040,"Electrical machines, drives, and power systems","Wildi, Theodore",Electrical,N/A,N/A
10041,"Electrical machines, drives, and power systems","Wildi, Theodore",Electrical,N/A,N/A
10042,Advanced Microprocessors,"Tabak, Daniel",Telecommunication,N/A,N/A
10043,Advanced Microprocessors,"Tabak, Daniel",Telecommunication,N/A,N/A
10044,Advanced Microprocessors,"Tabak, Daniel",Telecommunication,N/A,N/A
10045,Advanced Microprocessors,"Tabak, Daniel",Telecommunication,N/A,N/A
10046,Advanced Microprocessors,"Tabak, Daniel",Telecommunication,N/A,N/A
10047,Leading with knowledge : Knowledge management prac,Madanmohan Rao ed,Computer Science,N/A,N/A
10048,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10049,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
1005,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10050,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10051,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10052,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",General,N/A,N/A
10053,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10054,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10055,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10056,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10057,Text Book of Elements of Mechanical Engineering,"Gopalakrishna,K.R",Mechanical,N/A,N/A
10058,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10059,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
1006,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10060,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10061,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10062,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10063,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10064,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10065,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10066,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10067,Utilisation of Electric Energy in SI Units,Openshaw Taylor E,Electrical,N/A,N/A
10068,Operations Research,"Sharma, S D",General,N/A,N/A
10069,Operations Research,"Sharma, S D",General,N/A,N/A
1007,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10070,Operations Research,"Sharma, S D",General,N/A,N/A
10071,Operations Research,"Sharma, S D",General,N/A,N/A
10072,Operations Research,"Sharma, S D",General,N/A,N/A
10073,Introduction to radar systems,"Skolnik, Merrill I.",Electronics,N/A,N/A
10074,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10075,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10076,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10077,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10078,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10079,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
1008,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10080,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10081,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10082,Introduction to VLSI design,"Fabricius, Eugene D",Electronics,N/A,N/A
10083,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10084,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10085,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10086,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10087,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10088,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10089,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
1009,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10090,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10091,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10092,Synthesis and optimization of Digital Circuits,"Micheli, Giovanni D",Telecommunication,N/A,N/A
10093,Hughes Electrical and Electronic technology,"Hughes, Edward",Electrical,N/A,N/A
10094,Hughes Electrical and Electronic technology,"Hughes, Edward",Electrical,N/A,N/A
10095,Hughes Electrical and Electronic technology,"Hughes, Edward",Electrical,N/A,N/A
10096,Hughes Electrical and Electronic technology,"Hughes, Edward",Electrical,N/A,N/A
10097,Hughes Electrical and Electronic technology,"Hughes, Edward",Electrical,N/A,N/A
10098,Radar,"Edde, Byron",Telecommunication,N/A,N/A
10099,Radar,"Edde, Byron",Telecommunication,N/A,N/A
101,Engineering Mathematics - II,Ramamurthy K and Qureshi A,Mathematics,N/A,N/A
1010,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10100,Radar,"Edde, Byron",Telecommunication,N/A,N/A
10101,Radar,"Edde, Byron",Telecommunication,N/A,N/A
10102,Radar,"Edde, Byron",Telecommunication,N/A,N/A
10103,Kuby Immunology,"Kindt, Thomas J, Goldsby, Rich",Biotechnology,N/A,N/A
10104,Electronic devices and circuits,"Millman, Jacob & Hawkins,Chris",Electronics,N/A,N/A
10105,Electronic devices and circuits,"Millman, Jacob & Hawkins,Chris",Electronics,N/A,N/A
10106,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10107,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10108,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10109,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
1011,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10110,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10111,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10112,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10113,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10114,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10115,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10116,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10117,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10118,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10119,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
1012,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10120,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
10121,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10122,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10123,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10124,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10125,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10126,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10127,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10128,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10129,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
1013,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10130,Basic electronics,"Yoganarasimhan, B.N",Electronics,N/A,N/A
10131,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10132,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10133,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10134,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10135,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10136,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10137,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10138,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10139,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
1014,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10140,Computer Concepts and C Programming,"Kotur,P.B",Information Science,N/A,N/A
10141,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10142,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10143,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10144,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10145,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10146,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10147,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10148,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10149,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1015,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10150,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
10151,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10152,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10153,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10154,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10155,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10156,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10157,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10158,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10159,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
1016,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10160,Chemistry for engineering students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
10161,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10162,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10163,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10164,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10165,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10166,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10167,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10168,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10169,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
1017,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10170,Basic Electrical Engineering,"Nagsarkar, T K and Sukhija, M ",Electrical,N/A,N/A
10171,Lehninger principles of biochemistry,"Nelson, David L & Cox, Michael",Biotechnology,N/A,N/A
10172,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10173,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10174,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10175,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10176,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10177,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10178,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10179,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
1018,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10180,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10181,Spirit of C: an introduction to modern programming,"Mullish, H & Cooper, H.L.",Information Science,N/A,N/A
10182,Electronic devices and circuits,"Millman, Jacob & Hawkins,Chris",Electronics,N/A,N/A
10183,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10184,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10185,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10186,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10187,Basic Electronics,"Godse, A.P. & Bakshi, U.A.",Electronics,N/A,N/A
10188,Performance and design of alternating current mach,"Say, M G",Electrical,N/A,N/A
10189,Performance and design of alternating current mach,"Say, M G",Electrical,N/A,N/A
1019,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10190,Electronic Principles,"Malvino, Albert., Bates, David",Electrical,N/A,N/A
10191,Biotechnology,"Arora, Mohan P",Biotechnology,N/A,N/A
10192,Advances in Biotechnology,"Jogdand, S N",Biotechnology,N/A,N/A
10193,Gene Biotechnology,Jogdand S N,Biotechnology,N/A,N/A
10194,Environmental Biotechnology ( Industrial Pollution,Jogdand S N,Biotechnology,N/A,N/A
10195,Medical Biotechnology,Jogdand S N,Biotechnology,N/A,N/A
10196,Bioinformatics,Murthy C S V,Biotechnology,N/A,N/A
10197,Introduction to Bioinformatics,"Sundara Rajan S, Balaji R",Biotechnology,N/A,N/A
10198,Introduction to Basic molecular Biology techniques,Naik G R,Biotechnology,N/A,N/A
10199,Basic Molecular Biology,Upadhyay Avinash C and Upadhya,Biotechnology,N/A,N/A
102,Engineering Mathematics - II,Ramamurthy K and Qureshi A,Mathematics,N/A,N/A
1020,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10200,Molecular Biology,"Arora, Mohan P",Biotechnology,N/A,N/A
10201,Genitics,"Arora, Mohan P, Sindhu Gurudar",Biotechnology,N/A,N/A
10202,Genitic Engineering,"Arora, Mohan P",Biotechnology,N/A,N/A
10203,Cytogenitics,"Arora, Mohan P",Biotechnology,N/A,N/A
10204,Molecular Genitics of Cnacer : Bioscientia 1,Power C B,Biotechnology,N/A,N/A
10205,Gene Regulation : Bioscientia 2,Power C B,Biotechnology,N/A,N/A
10206,Cell Signalling : Bioscientia 3,Power C B,Biotechnology,N/A,N/A
10207,Molecular Genitics,Arora Mohan P,Biotechnology,N/A,N/A
10208,Biomolecular,Arora Mohan P,Biotechnology,N/A,N/A
10209,Biophysics,Arora Mohan P,Biotechnology,N/A,N/A
1021,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10210,Biophysics,Chatwal G R,Biotechnology,N/A,N/A
10211,Biophysical Chemistry : Principles and Techniques,"Upadhyay Avinash, Upadhyay Kak",Biotechnology,N/A,N/A
10212,Biophysical Chemistry : Principles and Techniques,"Upadhyay Avinash, Upadhyay Kak",Biotechnology,N/A,N/A
10213,Biophysical Chemistry : Principles and Techniques,"Upadhyay Avinash, Upadhyay Kak",Biotechnology,N/A,N/A
10214,Textbook of Biochemistry,"Potnis, Anil, Asha, Potnis, De",Biotechnology,N/A,N/A
10215,Microbiology,Arora Mohan P,Biotechnology,N/A,N/A
10216,Applied Microbiology for Pharmacy and other Biosci,"Kale, Vinita, Bhusari, Kishore",Biotechnology,N/A,N/A
10217,Introduction to Solid and Agricultural microbiolog,Prabhakaran J,Biotechnology,N/A,N/A
10218,Animal Behavior,Arora Mohan P,Biotechnology,N/A,N/A
10219,Animal Physiology,Arora Mohan P,Biotechnology,N/A,N/A
1022,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10220,Ecology,Arora Mohan P,Biotechnology,N/A,N/A
10221,Organic Evolution,Arora Mohan P,Biotechnology,N/A,N/A
10222,Embryology,Arora Mohan P,Biotechnology,N/A,N/A
10223,Organic Chemistry of Natural Products Vol - 1,Chatwal Gurudeep R,Biotechnology,N/A,N/A
10224,Organic Chemistry of Natural Products Vol - 2,Chatwal Gurudeep R,Biotechnology,N/A,N/A
10225,Instrumental methods of chemical analysis : Analyt,"Chatwal Gyrudeep R, Anand Sham",Biotechnology,N/A,N/A
10226,Bioinorganic and supramolecular chemistry,"Ajay, Kumar Bhagi, Chatwal Gur",Biotechnology,N/A,N/A
10227,Biophramaceutics and phramacokinetics,Chatwal G R,Biotechnology,N/A,N/A
10228,Green Chemisatry microwave synthesis,Desai K R,Biotechnology,N/A,N/A
10229,Spectroscopy : Automic molecular,"Chatwal G R, Anand Sham K",Biotechnology,N/A,N/A
1023,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10230,Computer applications in chemistry,"Sumbashiva Rao R, Nageshwara R",Biotechnology,N/A,N/A
10231,Experiments in Chemistry,Jahagiradar D V,Biotechnology,N/A,N/A
10232,Environmental Chemistry,"Ajay Kumar Bhagi, Chatwal, G R",Biotechnology,N/A,N/A
10233,Modern Entomology,Tembhare D B,Biotechnology,N/A,N/A
10234,Strength of Materials,"Rao.K.V., Raju.G.C",General,N/A,N/A
10235,Primer on Computer Aided Engineering Drawing,VTU,Mechanical,N/A,N/A
10236,Primer on Computer Aided Engineering Drawing,VTU,Mechanical,N/A,N/A
10237,Ethical Truths of Windows,Mudhakar J.S,Computer Science,N/A,N/A
10238,Field Theory,Yoganarasimhan,Electronics,N/A,N/A
10239,Text Book of Basic Electronics,Rao M V,Electronics,N/A,N/A
1024,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10240,Engineering Mathematics - III,Chandrasekharaiah D S,Mathematics,N/A,N/A
10241,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10242,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10243,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10244,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10245,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10246,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10247,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10248,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10249,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
1025,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10250,Text book  of engineering physics,Basavaraju S P,General,N/A,N/A
10251,Student Manual for The art of Electronics,"Hayes, Thomas C., Horowitz, Pa",Electronics,N/A,N/A
10252,Student Manual for The art of Electronics,"Hayes, Thomas C., Horowitz, Pa",Electronics,N/A,N/A
10253,Student Manual for The art of Electronics,"Hayes, Thomas C., Horowitz, Pa",Electronics,N/A,N/A
10254,Student Manual for The art of Electronics,"Hayes, Thomas C., Horowitz, Pa",Electronics,N/A,N/A
10255,Student Manual for The art of Electronics,"Hayes, Thomas C., Horowitz, Pa",Electronics,N/A,N/A
10256,The art of Electronics,"Horowitz, Paul., Hill,Winfield",Electronics,N/A,N/A
10257,art of Electronics,"Horowitz, Paul., Hill,Winfield",Electronics,N/A,N/A
10258,art of Electronics,"Horowitz, Paul., Hill,Winfield",Electronics,N/A,N/A
10259,art of Electronics,"Horowitz, Paul., Hill,Winfield",Electronics,N/A,N/A
1026,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10260,art of Electronics,"Horowitz, Paul., Hill,Winfield",Electronics,N/A,N/A
10261,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10262,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10263,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10264,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10265,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10266,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10267,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10268,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10269,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
1027,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10270,Digital signal processing : A practical approach,Ramesh babu P,Electronics,N/A,N/A
10271,First Course on Electrical Drives,Pillai S.K.,Electrical,N/A,N/A
10272,First Course on Electrical Drives,Pillai S.K.,Electrical,N/A,N/A
10273,First Course on Electrical Drives,Pillai S.K.,Electrical,N/A,N/A
10274,First Course on Electrical Drives,Pillai S.K.,Electrical,N/A,N/A
10275,First Course on Electrical Drives,Pillai S.K.,Electrical,N/A,N/A
10276,Fundamentals of Electrical Engineering,Rajendra Prasad,Electrical,N/A,N/A
10277,Fundamentals of Electrical Engineering,Rajendra Prasad,Electrical,N/A,N/A
10278,Fundamentals of Electrical Engineering,Rajendra Prasad,Electrical,N/A,N/A
10279,Fundamentals of Electrical Engineering,Rajendra Prasad,Electrical,N/A,N/A
1028,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10280,Fundamentals of Electrical Engineering,Rajendra Prasad,Electrical,N/A,N/A
10281,Electric Drives,"De, Nisit.K., Sin, Prasanta K",Electrical,N/A,N/A
10282,Electric Drives,"De, Nisit.K., Sin, Prasanta K",Electrical,N/A,N/A
10283,Digital control of Dynamic systems,"Franklin, Gene F., Powell, J D",Electrical,N/A,N/A
10284,Digital control of Dynamic systems,"Franklin, Gene F., Powell, J D",Electrical,N/A,N/A
10285,Digital control of Dynamic systems,"Franklin, Gene F., Powell, J D",Electrical,N/A,N/A
10286,Digital control of Dynamic systems,"Franklin, Gene F., Powell, J D",Electrical,N/A,N/A
10287,Digital control of Dynamic systems,"Franklin, Gene F., Powell, J D",Electrical,N/A,N/A
10288,Tat Tavam ASI : The Universal Message in Bhagavadg,Patikonda Vishwamabara Nath,General,N/A,N/A
10289,Tat Tavam ASI: The Universal Message in th Bhagava,Patikonda Vishwambara Nath,General,N/A,N/A
1029,First year workshop lab manual,"Vee Ess (Shivaraj, V)",Physics,N/A,N/A
10290,Thoughts on Synthesis of Science and Religion : Sr,"Singh T D., Bandopadhyaya and ",General,N/A,N/A
10291,Speel of the South,Raman A S,General,N/A,N/A
10292,Towards a culture of harmony & peace,"Singh T D& Tutu, Desomond",General,N/A,N/A
10293,Temples and legends of Karnataka,Rao G V,General,N/A,N/A
10294,Musings on India: reflections on events from 1997 ,,General,N/A,N/A
